x_min,x_max,y_min,y_max,z_min,z_max,m_pos,unc_pos_stat,unc_pos_syst,m_neg,unc_neg_stat,unc_neg_syst,VM_pos,VM_neg,VM_incl,RC_pos,RC_neg
0.04,0.06,0.15,0.2,0.6,0.65,0.18898,0.0058,0.01081,0.1455,0.00506,0.00858,0.90461,0.88689,0.97681,1.07361,1.07968
0.04,0.06,0.15,0.2,0.65,0.7,0.14828,0.00503,0.00899,0.09545,0.00393,0.00649,0.8718,0.82137,0.97681,1.07825,1.084
0.04,0.06,0.15,0.2,0.7,0.75,0.11922,0.00443,0.00797,0.07703,0.00341,0.00589,0.82954,0.77921,0.97681,1.08311,1.08856
0.04,0.06,0.15,0.2,0.75,0.85,0.07677,0.00236,0.00685,0.05173,0.00188,0.0059,0.72853,0.65533,0.97681,1.0897,1.09464
0.04,0.06,0.2,0.3,0.3,0.35,1.07802,0.02426,0.05704,0.88975,0.02201,0.04723,0.98809,0.98651,0.98635,1.06145,1.0688
0.04,0.06,0.2,0.3,0.35,0.4,0.7545,0.01398,0.03997,0.62576,0.01266,0.03344,0.98419,0.97974,0.98505,1.06347,1.07067
0.04,0.06,0.2,0.3,0.4,0.45,0.53328,0.01016,0.02839,0.43706,0.00919,0.02342,0.97749,0.97248,0.98424,1.06631,1.07325
0.04,0.06,0.2,0.3,0.45,0.5,0.40436,0.00878,0.02168,0.31031,0.00762,0.01678,0.96986,0.9616,0.98424,1.07084,1.07746
0.04,0.06,0.2,0.3,0.5,0.55,0.30048,0.00749,0.01627,0.22015,0.00635,0.01204,0.95944,0.95127,0.98424,1.07555,1.08183
0.04,0.06,0.2,0.3,0.55,0.6,0.23287,0.00656,0.01277,0.16711,0.00553,0.00936,0.94519,0.92957,0.98424,1.08015,1.08611
0.04,0.06,0.2,0.3,0.6,0.65,0.18455,0.00582,0.01039,0.11713,0.00449,0.00677,0.926,0.90601,0.98424,1.08484,1.09048
0.04,0.06,0.2,0.3,0.65,0.7,0.14146,0.005,0.00832,0.09393,0.00402,0.00586,0.89919,0.86748,0.98424,1.08935,1.09465
0.04,0.06,0.2,0.3,0.7,0.75,0.10366,0.00423,0.0065,0.06804,0.00333,0.00469,0.86504,0.82004,0.98424,1.09396,1.09891
0.04,0.06,0.2,0.3,0.75,0.85,0.07261,0.00247,0.00579,0.04599,0.00186,0.00453,0.76839,0.70133,0.98411,1.10108,1.10559
0.04,0.06,0.3,0.5,0.2,0.25,2.23505,0.03862,0.11887,1.83296,0.03442,0.09823,0.99598,0.99521,0.99163,1.07235,1.07855
0.04,0.06,0.3,0.5,0.25,0.3,1.52175,0.02147,0.08047,1.23284,0.01912,0.06558,0.99373,0.99264,0.99037,1.06603,1.07254
0.04,0.06,0.3,0.5,0.3,0.35,1.03376,0.01705,0.05488,0.85855,0.01549,0.04583,0.99179,0.99005,0.99025,1.06959,1.07581
0.04,0.06,0.3,0.5,0.35,0.4,0.73607,0.01431,0.0393,0.58676,0.01276,0.03159,0.98833,0.98597,0.99025,1.07421,1.08011
0.04,0.06,0.3,0.5,0.4,0.45,0.56224,0.01258,0.03024,0.40859,0.01056,0.02209,0.98446,0.98231,0.99025,1.07888,1.08444
0.04,0.06,0.3,0.5,0.45,0.5,0.3855,0.01041,0.02099,0.30555,0.00922,0.0166,0.97833,0.97558,0.99022,1.08264,1.0879
0.04,0.06,0.3,0.5,0.5,0.55,0.28232,0.00934,0.01548,0.22526,0.00832,0.01236,0.97313,0.96515,0.98997,1.08615,1.09119
0.04,0.06,0.3,0.5,0.55,0.6,0.23644,0.00931,0.01328,0.14522,0.00706,0.0081,0.95889,0.94749,0.98961,1.08769,1.09255
0.04,0.06,0.3,0.5,0.6,0.65,0.18703,0.00912,0.01069,0.11373,0.007,0.00654,0.94051,0.92461,0.98927,1.08861,1.09327
0.04,0.06,0.3,0.5,0.65,0.7,0.13662,0.009,0.00785,0.0914,0.00717,0.00558,0.92791,0.88183,0.98895,1.09076,1.09522
0.04,0.06,0.3,0.5,0.7,0.75,0.09578,0.00901,0.006,0.05849,0.007,0.00393,0.8765,0.84637,0.98866,1.08942,1.09364
0.04,0.06,0.5,0.7,0.2,0.25,2.15034,0.0523,0.11538,1.79426,0.04732,0.09658,0.99718,0.99672,0.99398,1.08002,1.08375
0.04,0.06,0.5,0.7,0.25,0.3,1.44343,0.04344,0.078,1.20518,0.03918,0.06529,0.99627,0.99552,0.99398,1.08477,1.08817
0.04,0.06,0.5,0.7,0.3,0.35,1.09109,0.03807,0.05925,0.75179,0.03041,0.04109,0.99477,0.99369,0.99396,1.08883,1.09194
0.04,0.06,0.5,0.7,0.35,0.4,0.66595,0.03215,0.03688,0.59332,0.03081,0.03263,0.99237,0.99106,0.9937,1.09598,1.09914
0.04,0.06,0.5,0.7,0.4,0.45,0.51223,0.03704,0.02882,0.37751,0.0314,0.02119,0.98778,0.98738,0.99332,1.10366,1.10696
0.06,0.1,0.1,0.15,0.6,0.65,0.18913,0.00817,0.01052,0.12263,0.00652,0.00707,0.93389,0.90599,0.98156,1.06884,1.07409
