x_min,x_max,y_min,y_max,z_min,z_max,m_pos,unc_pos_stat,unc_pos_syst,m_neg,unc_neg_stat,unc_neg_syst,VM_pos,VM_neg,VM_incl,RC_pos,RC_neg
0.03,0.04,0.15,0.2,0.55,0.6,0.39918,0.00886,0.0194,0.2448,0.00678,0.01273,0.91904,0.88888,0.96643,1.07651,1.08528
0.03,0.04,0.15,0.2,0.6,0.65,0.29583,0.00748,0.01502,0.1978,0.00601,0.01089,0.89785,0.86622,0.96643,1.08131,1.09
0.03,0.04,0.15,0.2,0.65,0.7,0.24189,0.00673,0.01298,0.14585,0.00505,0.00908,0.87493,0.82286,0.96643,1.08593,1.09454
0.03,0.04,0.15,0.2,0.7,0.75,0.18558,0.00575,0.01088,0.11306,0.0044,0.00793,0.8423,0.78595,0.96643,1.09062,1.09915
0.03,0.04,0.15,0.2,0.75,0.85,0.1242,0.00316,0.01027,0.07089,0.00225,0.00792,0.73659,0.65314,0.96643,1.09767,1.10608
0.03,0.04,0.2,0.3,0.3,0.35,1.48581,0.02901,0.06536,1.14708,0.02528,0.05113,0.98935,0.98606,0.98036,1.05469,1.06296
0.03,0.04,0.2,0.3,0.35,0.4,1.11892,0.01737,0.0498,0.81846,0.01473,0.03707,0.98187,0.97883,0.97826,1.06187,1.07031
0.03,0.04,0.2,0.3,0.4,0.45,0.85599,0.01333,0.03844,0.59207,0.01092,0.02703,0.9735,0.96634,0.97708,1.06552,1.07397
0.03,0.04,0.2,0.3,0.45,0.5,0.62202,0.01119,0.0283,0.44468,0.00939,0.02059,0.96553,0.95704,0.97709,1.07033,1.07869
0.03,0.04,0.2,0.3,0.5,0.55,0.47696,0.00978,0.02201,0.31174,0.00776,0.01478,0.95355,0.94071,0.97709,1.07485,1.08314
0.03,0.04,0.2,0.3,0.55,0.6,0.3532,0.00832,0.01678,0.23602,0.00664,0.01168,0.93594,0.91763,0.97709,1.07956,1.08777
0.03,0.04,0.2,0.3,0.6,0.65,0.27662,0.00728,0.01358,0.18409,0.00585,0.00954,0.91775,0.89289,0.97709,1.08443,1.09256
0.03,0.04,0.2,0.3,0.65,0.7,0.23033,0.00673,0.0118,0.13342,0.00492,0.00731,0.89647,0.87045,0.97709,1.08899,1.09705
0.03,0.04,0.2,0.3,0.7,0.75,0.16004,0.00538,0.00929,0.10091,0.0042,0.00645,0.84771,0.81645,0.97709,1.09386,1.10184
0.03,0.04,0.2,0.3,0.75,0.85,0.11012,0.00315,0.00812,0.06316,0.00227,0.0059,0.77027,0.70292,0.97692,1.10148,1.10936
0.03,0.04,0.3,0.5,0.2,0.25,2.88187,0.04315,0.12936,2.42131,0.03932,0.1097,0.99618,0.99547,0.98813,1.07179,1.07816
0.03,0.04,0.3,0.5,0.25,0.3,2.05744,0.02533,0.09195,1.66954,0.02252,0.07545,0.994,0.99286,0.98636,1.06889,1.07593
0.03,0.04,0.3,0.5,0.3,0.35,1.47876,0.02082,0.06646,1.15769,0.01828,0.05259,0.99186,0.99036,0.98616,1.07243,1.07944
0.03,0.04,0.3,0.5,0.35,0.4,1.09368,0.01788,0.04955,0.81021,0.01514,0.03717,0.98849,0.98576,0.98616,1.07688,1.08383
0.03,0.04,0.3,0.5,0.4,0.45,0.83213,0.01561,0.03803,0.56463,0.01255,0.02613,0.98259,0.97886,0.98616,1.082,1.08883
0.03,0.04,0.3,0.5,0.45,0.5,0.6036,0.01327,0.02787,0.42142,0.01098,0.01972,0.9765,0.97226,0.98612,1.08653,1.09332
0.03,0.04,0.3,0.5,0.5,0.55,0.47176,0.01245,0.02204,0.29683,0.00963,0.01417,0.96797,0.96015,0.98576,1.0904,1.0973
0.03,0.04,0.3,0.5,0.55,0.6,0.34111,0.01141,0.01618,0.20807,0.00867,0.01009,0.95348,0.94422,0.98528,1.09379,1.10076
0.03,0.04,0.3,0.5,0.6,0.65,0.28726,0.01174,0.01388,0.16666,0.0088,0.00834,0.94115,0.92874,0.9847,1.0959,1.10296
0.03,0.04,0.3,0.5,0.65,0.7,0.21841,0.01194,0.01095,0.12045,0.00835,0.00632,0.91954,0.89681,0.98415,1.0989,1.10602
0.03,0.04,0.3,0.5,0.7,0.75,0.16717,0.01265,0.00876,0.10442,0.00976,0.00582,0.89029,0.86878,0.98376,1.09754,1.10466
0.03,0.04,0.5,0.7,0.2,0.25,2.96956,0.05703,0.13983,2.49209,0.0518,0.11814,0.99712,0.99687,0.99127,1.10013,1.10376
0.03,0.04,0.5,0.7,0.25,0.3,2.08911,0.04805,0.09904,1.70525,0.04316,0.0813,0.99622,0.99569,0.99127,1.1046,1.10818
0.03,0.04,0.5,0.7,0.3,0.35,1.4755,0.04059,0.07051,1.11791,0.0345,0.05375,0.99494,0.99408,0.99126,1.109,1.11251
0.03,0.04,0.5,0.7,0.35,0.4,1.13558,0.03957,0.05458,0.7502,0.03116,0.03629,0.99212,0.99108,0.99095,1.11125,1.1151
0.03,0.04,0.5,0.7,0.4,0.45,0.75177,0.04258,0.03665,0.57502,0.03664,0.02868,0.98869,0.98487,0.99051,1.11907,1.12335
0.04,0.06,0.1,0.15,0.6,0.65,0.31117,0.00921,0.01482,0.19125,0.00708,0.00989,0.92486,0.88686,0.96977,1.06983,1.07834
0.04,0.06,0.1,0.15,0.65,0.7,0.233,0.00635,0.01166,0.1475,0.00499,0.00851,0.9033,0.84653,0.96818,1.07739,1.08563
0.04,0.06,0.1,0.15,0.7,0.75,0.18449,0.00478,0.01034,0.1052,0.00348,0.00731,0.85631,0.78683,0.96661,1.08319,1.09114
0.04,0.06,0.1,0.15,0.75,0.85,0.13421,0.00252,0.00983,0.07526,0.0018,0.0079,0.77119,0.67006,0.96506,1.09227,1.09978
0.04,0.06,0.15,0.2,0.45,0.5,0.63755,0.01493,0.02842,0.42868,0.01216,0.01947,0.96845,0.95863,0.97854,1.05782,1.06701
0.04,0.06,0.15,0.2,0.5,0.55,0.49629,0.01023,0.02246,0.32902,0.00826,0.01532,0.95844,0.94179,0.97702,1.06343,1.07236
0.04,0.06,0.15,0.2,0.55,0.6,0.3941,0.00868,0.01821,0.22814,0.00643,0.0111,0.94359,0.91819,0.9768,1.06811,1.07672
0.04,0.06,0.15,0.2,0.6,0.65,0.30273,0.00755,0.01433,0.19487,0.00597,0.00968,0.92946,0.90702,0.97681,1.07294,1.08122
0.04,0.06,0.15,0.2,0.65,0.7,0.2324,0.0065,0.01142,0.12716,0.00468,0.00693,0.91087,0.86655,0.97681,1.07795,1.08592
0.04,0.06,0.15,0.2,0.7,0.75,0.17686,0.00557,0.00936,0.09942,0.00402,0.00603,0.87776,0.8295,0.97681,1.08321,1.09085
0.04,0.06,0.15,0.2,0.75,0.85,0.11325,0.00299,0.00761,0.06352,0.00215,0.00578,0.79627,0.70909,0.97681,1.09034,1.09749
0.04,0.06,0.2,0.3,0.3,0.35,1.5326,0.02953,0.0676,1.13921,0.0252,0.0509,0.99183,0.99015,0.98635,1.05887,1.06823
0.04,0.06,0.2,0.3,0.35,0.4,1.12634,0.01741,0.04988,0.82659,0.01478,0.03715,0.98802,0.98393,0.98505,1.06118,1.07045
0.04,0.06,0.2,0.3,0.4,0.45,0.83122,0.01298,0.03704,0.56637,0.01058,0.02563,0.98163,0.9767,0.98424,1.06436,1.07338
0.04,0.06,0.2,0.3,0.45,0.5,0.63833,0.01128,0.02871,0.42251,0.00903,0.01934,0.97576,0.96845,0.98424,1.06927,1.07798
0.04,0.06,0.2,0.3,0.5,0.55,0.48507,0.00971,0.02209,0.29305,0.00744,0.01359,0.96737,0.95873,0.98424,1.07436,1.08273
0.04,0.06,0.2,0.3,0.55,0.6,0.37466,0.00853,0.01733,0.22686,0.00656,0.01083,0.95651,0.94294,0.98424,1.07934,1.08739
0.04,0.06,0.2,0.3,0.6,0.65,0.28805,0.00745,0.01359,0.15863,0.00532,0.00774,0.94379,0.92672,0.98424,1.08441,1.09213
